business_status,delivery,dine_in,sub_city,city,province,phone_number,lat,lng,name,place_id,price_level,rating,url,user_rating
OPERATIONAL,FALSE,TRUE,Kecamatan Denpasar Selatan,Kota Denpasar,Bali,0813-3731-7886,-8.68428,115.23299,Mixue Tukad Barito,ChIJpcATcPVB0i0RCEoi0AtfUZA,0,4.6,https://maps.google.com/?cid=10399197518916373000,53
OPERATIONAL,FALSE,TRUE,Kecamatan Mijen,Kota Semarang,Jawa Tengah,0,-7.0654182,110.31157,Mixue Mijen,ChIJPcPK5-VhcC4RztYfcDtITpI,0,4.5,https://maps.google.com/?cid=10542443197842314958,135
OPERATIONAL,FALSE,FALSE,Kecamatan Waru,Kabupaten Sidoarjo,Jawa Timur,0,-7.3637667,112.73383,MIXUE DELTASARI,ChIJPcrzsXLl1y0R6mw7fcj-DqQ,0,4.7,https://maps.google.com/?cid=11821666208942091498,10
OPERATIONAL,FALSE,TRUE,Kecamatan Sukomanunggal,Kota Surabaya,Jawa Timur,0,-7.2755666,112.705894,Mixue - Kupang Jaya,ChIJPddGonH91y0RNeIyor8PQKU,0,4.2,https://maps.google.com/?cid=11907534730502005301,59
OPERATIONAL,FALSE,FALSE,Kecamatan Banyumanik,Kota Semarang,Jawa Tengah,0,-7.0849977,110.41764,Mixue Mega Residence,ChIJPdOuTkSJcC4R01wP5AD_kW4,0,0,https://maps.google.com/?cid=7967429595086413011,0
OPERATIONAL,FALSE,TRUE,Kecamatan Rajagaluh,Kabupaten Majalengka,Jawa Barat,0812-8661-1676,-6.7838163,108.34576,Mixue Rajagaluh,ChIJpR3VNdYhby4RB4VOXpK0dAE,0,4.6,https://maps.google.com/?cid=104907232076793095,24
OPERATIONAL,FALSE,FALSE,Kecamatan Kaliwungu Selatan,Kabupaten Kendal,Jawa Tengah,0812-1651-9267,-6.9629383,110.250755,MIXUE KALIWUNGU,ChIJpRc9g0tfcC4RKbUbHFOrB54,0,0,https://maps.google.com/?cid=11387258556271801641,0
OPERATIONAL,FALSE,FALSE,Kecamatan Medan Petisah,Kota Medan,Sumatera Utara,0813-7533-8717,3.5933537,98.66331,Mixue Plaza Medan Fair,ChIJPTVtpUwxMTARxlZwuWAFfEs,0,4.4,https://maps.google.com/?cid=5439228362942863046,7
OPERATIONAL,FALSE,FALSE,Cipatat,West Bandung Regency,West Java,0,-6.8328123,107.34648,Mixue Rajamandala,ChIJPUBwkLz_aC4Ryincruv38ng,0,4.3,https://maps.google.com/?cid=8715300820538370506,6
OPERATIONAL,TRUE,TRUE,Kecamatan Kembaran,Kabupaten Banyumas,Jawa Tengah,0,-7.4141088,109.26808,MIXUE PURWOKERTO UMP,ChIJPUtxy19fZS4RI0Rp5pd40LA,0,4.5,https://maps.google.com/?cid=12740815939632186403,134
OPERATIONAL,FALSE,FALSE,Kecamatan Kelapa Dua,Kabupaten Tangerang,Banten,0813-2200-0968,-6.2199745,106.60883,Mixue Palmer Avenue,ChIJPwz9433_aS4RHRA7eJmHiPs,0,5,https://maps.google.com/?cid=18124885793569443869,2
OPERATIONAL,FALSE,FALSE,Kecamatan Tambaksari,Kota Surabaya,Jawa Timur,0,-7.25805,112.75453,Mixue Ice Cream & Tea - Tambaksari,ChIJpXdc0kn51y0RY19nv0YUntY,0,4.7,https://maps.google.com/?cid=15464820464528351075,19
OPERATIONAL,TRUE,TRUE,Kecamatan Dayeuhkolot,Kabupaten Bandung,Jawa Barat,0812-2203-1955,-6.963849,107.59267,Mixue Cibaduyut,ChIJPyBU-krpaC4RhkrWq2ymGBI,0,4.7,https://maps.google.com/?cid=1303975077793385094,220
OPERATIONAL,FALSE,FALSE,Kecamatan Wonosobo,Kabupaten Wonosobo,Jawa Tengah,0,-7.360344,109.90277,Wonosobo ice cream mixue,ChIJPyGyH46hei4RA6eEePpsyIw,0,5,https://maps.google.com/?cid=10144477983671625475,2
OPERATIONAL,TRUE,TRUE,Kecamatan Banjarsari,Kota Surakarta,Jawa Tengah,0898-4965-500,-7.5700426,110.82323,MIXUE Solo,ChIJpYxvoLMXei4R58S0rdfXW-k,1,4.8,https://maps.google.com/?cid=16815270955050124519,828
OPERATIONAL,FALSE,FALSE,Kecamatan Depok,Kabupaten Sleman,Daerah Istimewa Yogyakarta,0811-1111-3091,-7.768207,110.39567,Mixue pringwulung,ChIJPZABaAZZei4Rls1bxYdpX1I,0,4.3,https://maps.google.com/?cid=5935578865750232470,14
OPERATIONAL,TRUE,TRUE,Kecamatan Tanjungsari,Kabupaten Sumedang,Jawa Barat,0895-0670-1608,-6.8985276,107.80264,Mixue Tanjungsari,ChIJQ2wo_pjbaC4RWm0a2IzWOiU,0,4.6,https://maps.google.com/?cid=2682692428461927770,124
OPERATIONAL,TRUE,TRUE,City,Kabupaten Bogor,Jawa Barat,0821-2119-9229,-6.4523234,107.0387,Mixue Citra Indah,ChIJQ3SlWceXaS4RQ4Yu835HZeI,0,0,https://maps.google.com/?cid=16313523835790853699,0
OPERATIONAL,TRUE,TRUE,Kecamatan Cibinong,Kabupaten Bogor,Jawa Barat,0,-6.4853883,106.84153,Mixue Cibinong,ChIJQ4kfyx_BaS4RM5vC0KvM1Zg,0,4.3,https://maps.google.com/?cid=11012933502118304563,87
OPERATIONAL,FALSE,FALSE,Kecamatan Karanganyar,Kabupaten Karanganyar,Jawa Tengah,0,-7.592324,110.935745,mixue karanganyar,ChIJq4lHt7YZei4R5hbUmiUM07g,0,4.8,https://maps.google.com/?cid=13318001878715602662,17
OPERATIONAL,TRUE,TRUE,Kecamatan Kramat jati,Jakarta,Daerah Khusus Ibukota Jakarta,0813-7055-8881,-6.2910094,106.85549,Mixue Condet Jakarta Timur,ChIJq6rmdY7zaS4RexTVNpmqkGc,0,4.4,https://maps.google.com/?cid=7462652157579564155,147
OPERATIONAL,TRUE,TRUE,Kecamatan Semarang Tengah,Kota Semarang,Jawa Tengah,0812-2952-1281,-6.991798,110.42372,Mixue Simpang Lima Semarang,ChIJq85ZxTuLcC4RedIu_CnYOBg,0,5,https://maps.google.com/?cid=1745382530442252921,29
OPERATIONAL,FALSE,TRUE,Kecamatan Tangerang,Kota Tangerang,Banten,0,-6.1846333,106.648346,Mixue Cipondoh,ChIJq9C7I5X5aS4RNvxpBqmSUes,0,4.2,https://maps.google.com/?cid=16956495326681365558,62
OPERATIONAL,FALSE,FALSE,Kecamatan Indramayu,Kabupaten Indramayu,Jawa Barat,0,-6.3212857,108.32731,Mixue Karangturi,ChIJq9Jn0hO7bi4RQWf7bnzTJtw,0,0,https://maps.google.com/?cid=15863599268850526017,0
OPERATIONAL,FALSE,TRUE,Kecamatan Mlati,Kabupaten Sleman,Daerah Istimewa Yogyakarta,0895-6014-04400,-7.7566915,110.37321,Mixue Pogung Pandega,ChIJQdRSQHxZei4Rn_ajHAIk5Wo,0,4.9,https://maps.google.com/?cid=7702602329176143519,126
OPERATIONAL,TRUE,TRUE,Kecamatan Bubutan,Kota Surabaya,Jawa Timur,0818-0313-1648,-7.255982,112.71915,Mixue Ice Cream & Tea - Tidar,ChIJQe-Ow9751y0RM_IZ-Llx0P8,2,4.7,https://maps.google.com/?cid=18433358318372778547,351
OPERATIONAL,TRUE,TRUE,Kecamatan Babakan Ciparay,Kota Bandung,Jawa Barat,0813-2047-9707,-6.93795,107.57093,Mixue Holis,ChIJqe4PCjzvaC4RTXz7htADYzQ,0,4.7,https://maps.google.com/?cid=3774865106819316813,83
OPERATIONAL,FALSE,FALSE,Mundu,Cirebon,West Java,0,-6.7576194,108.59435,MIXUE MUNDU,ChIJqRvFiLsdby4RAkmdc8NRqzI,0,5,https://maps.google.com/?cid=3651101822814079234,8
OPERATIONAL,FALSE,TRUE,Ilir Timur II,Palembang City,South Sumatra,0,-2.9617474,104.769936,MIXUE GOLF,ChIJQSxH-e93Oy4RVP5eANVIofs,0,3,https://maps.google.com/?cid=18131853654441786964,23
OPERATIONAL,FALSE,FALSE,Kecamatan Kaliwates,Kabupaten Jember,Jawa Timur,0,-8.182855,113.66263,Mixue Roxy Square Jember,ChIJQVlYUtaT1i0R5Iy39lASnRM,0,4.8,https://maps.google.com/?cid=1413305997010111716,19
OPERATIONAL,TRUE,TRUE,Kecamatan Kebon Jeruk,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,0,-6.1698794,106.766785,Mixue Taman Ratu,ChIJqXqAZgn3aS4RrxduzeaA_cY,0,4.8,https://maps.google.com/?cid=14338758517394905007,243
OPERATIONAL,FALSE,TRUE,Kecamatan Ngawi,Kabupaten Ngawi,Jawa Timur,0,-7.395774,111.4485,Mixue Ngawi,ChIJqxyZyqbneS4R1LipfJQKgJM,0,3.4,https://maps.google.com/?cid=10628506753457305812,30
OPERATIONAL,FALSE,TRUE,Kecamatan Pakis,Kabupaten Malang,Jawa Timur,0896-8055-6943,-7.953677,112.69771,Mixue Pakis Malang,ChIJqYcR-gop1i0RcIKsiHAZZMo,0,4.3,https://maps.google.com/?cid=14583809464452547184,43
OPERATIONAL,FALSE,TRUE,Kecamatan Taktakan,Kota Serang,Banten,0812-8113-3392,-6.1009297,106.13579,Mixue Raya Cilegon,ChIJQYswu8KLQS4RAL1Dam86IN0,0,5,https://maps.google.com/?cid=15933799731835419904,12
OPERATIONAL,TRUE,TRUE,Kecamatan Sidoarjo,Kabupaten Sidoarjo,Jawa Timur,0813-2482-5128,-7.4570737,112.72023,Mixue - Raden Patah,ChIJqZ6GvGbn1y0Rttk7sdN17pc,1,4.6,https://maps.google.com/?cid=10947817296256293302,394
OPERATIONAL,FALSE,FALSE,Kecamatan Lubuk Baja,Kota Batam,Kepulauan Riau,0,1.1443073,104.01569,Mixue Thamrin City,ChIJqZVfso6J2TERS0f2abgYm0E,0,4.3,https://maps.google.com/?cid=4727399414186264395,4
OPERATIONAL,FALSE,TRUE,Kecamatan Denpasar Barat,Kota Denpasar,Bali,0,-8.673848,115.17993,Mixue Teuku Umar 2,ChIJr1rk9dxH0i0RiyzF7ld1bgA,0,4,https://maps.google.com/?cid=31091267966676107,12
OPERATIONAL,FALSE,TRUE,Jatiwangi,Majalengka Regency,West Java,0,-6.730015,108.26607,Mixue Jatiwangi,ChIJr1WBLHnZbi4Ri1u7hYLaG9w,0,4.6,https://maps.google.com/?cid=15860510766839585675,64
OPERATIONAL,FALSE,TRUE,Kecamatan Manguharjo,Kota Madiun,Jawa Timur,0812-3188-2733,-7.635679,111.517044,Mixue Madiun HASalim,ChIJR4ewR7q_eS4R766fdgcU5wM,0,0,https://maps.google.com/?cid=281215524021448431,0
OPERATIONAL,FALSE,TRUE,Kecamatan Mergangsan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,0812-2759-9050,-7.814544,110.37624,Mixue Taman Siswa,ChIJR4JNaPFXei4R3g6HtD7XVvI,0,4.4,https://maps.google.com/?cid=17462381269492371166,83
OPERATIONAL,FALSE,FALSE,Kecamatan Panongan,Kabupaten Tangerang,Banten,0859-4380-4202,-6.2721877,106.528656,Mixue Garden Boulevard Cikupa,ChIJr6LtCwEHQi4RPVjIjplzkvA,0,4.8,https://maps.google.com/?cid=17335045019065145405,5
OPERATIONAL,TRUE,TRUE,Kecamatan Mulyorejo,Kota Surabaya,Jawa Timur,0859-3470-2828,-7.2626843,112.78272,Mixue Soekarno Merr,ChIJrawcphf51y0R9Gtl0ftLBME,0,5,https://maps.google.com/?cid=13908325094148893684,9
OPERATIONAL,TRUE,TRUE,Kecamatan Pangandaran,Kabupaten Pangandaran,Jawa Barat,0813-2297-3811,-7.697205,108.65775,Mixue Pangandaran,ChIJRbuxneCZZS4RYin1DrtlCJA,2,4.3,https://maps.google.com/?cid=10378657195359545698,279
OPERATIONAL,FALSE,TRUE,Kecamatan Kuta,Kabupaten Badung,Bali,0,-8.707894,115.17402,Mixue Premium Legian,ChIJrc_hJRxH0i0RYJ6N4yAYNpU,0,4.7,https://maps.google.com/?cid=10751807689929367136,23
OPERATIONAL,FALSE,FALSE,Kecamatan Tenggilis Mejoyo,Kota Surabaya,Jawa Timur,0896-0364-5085,-7.3101897,112.75801,Mixue Jemursari,ChIJRcsLOTv71y0RHB-CLhP42LA,0,4.7,https://maps.google.com/?cid=12743207906913165084,16
OPERATIONAL,TRUE,TRUE,Jombang,Cilegon,Banten,0,-6.0237765,106.06696,Mixue Cilegon,ChIJRT0LOPKNQS4RKEn5imuJOuw,0,4.4,https://maps.google.com/?cid=17022068836586309928,120
OPERATIONAL,FALSE,FALSE,Kecamatan Pemalang,Kabupaten Pemalang,Jawa Tengah,0,-6.890163,109.38407,Mixue Pemalang Jendral Sudirman,ChIJRTpHcDrbby4R1V3Z_pMIgfc,0,3.6,https://maps.google.com/?cid=17834545431092747733,5
OPERATIONAL,FALSE,FALSE,Kecamatan Pagaden,Kabupaten Subang,Jawa Barat,0,-6.467601,107.80997,Mixue Pagaden Subang,ChIJrUVzS9M5aS4RjMR7iyfljTI,0,5,https://maps.google.com/?cid=3642819631619228812,13
OPERATIONAL,TRUE,TRUE,Kecamatan Cengkareng,Cegkareng,Daerah Khusus Ibukota Jakarta,0813-8129-2354,-6.1315536,106.73483,Mixue Cengkareng,ChIJRV_VtRwdai4RC3CdVcy68YA,0,4.6,https://maps.google.com/?cid=9291412893014519819,72
OPERATIONAL,FALSE,TRUE,Kecamatan Kalidoni,Kota Palembang,Sumatera Selatan,0,-2.9460194,104.78563,MIXUE Celentang,ChIJrxoAAh93Oy4Rq7vZGOvdaPg,0,4.5,https://maps.google.com/?cid=17899800720788011947,42
OPERATIONAL,FALSE,FALSE,Kecamatan Cipanas,Kabupaten Cianjur,Jawa Barat,0,-6.7403,107.02142,Mixue Ice Cream & Tea,ChIJRYbDE1azaS4RSycebruGnek,0,4,https://maps.google.com/?cid=16833759121745258315,1
OPERATIONAL,FALSE,FALSE,Kecamatan Koja,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,0,-6.1160383,106.91289,Mixue,ChIJrycYlFQhai4RT3cv7LCkd1o,0,0,https://maps.google.com/?cid=6518860065425815375,0
OPERATIONAL,FALSE,FALSE,Kecamatan Bogor Barat,Kota Bogor,Jawa Barat,0813-2817-1731,-6.587032,106.7718,Mixue Loji,ChIJRyiVq7fFaS4RF-Pw0oL4wx8,0,4.7,https://maps.google.com/?cid=2288946276402782999,10
OPERATIONAL,FALSE,TRUE,Kecamatan Patrang,Kabupaten Jember,Jawa Timur,0821-2000-5712,-8.17018,113.70107,Mixue Jember Kartini,ChIJRyTNaq-V1i0RoU5nXMqoQHA,0,4.8,https://maps.google.com/?cid=8088650517844545185,8
OPERATIONAL,TRUE,TRUE,Kecamatan Cimahi Utara,Kota Cimahi,Jawa Barat,0,-6.8663783,107.54739,Mixue Citeureup,ChIJRZS4m8PlaC4RXTeZY_69YY0,0,3.7,https://maps.google.com/?cid=10187632732379101021,41
OPERATIONAL,FALSE,FALSE,Kecamatan Rajabasa,Kota Bandar Lampung,Lampung,0821-7768-7575,-5.375045,105.222565,Mixue Pramuka lampung,ChIJrzWUutjbQC4R0e0U9jL_35A,0,5,https://maps.google.com/?cid=10439343055610113489,2
OPERATIONAL,FALSE,TRUE,Kecamatan Jembrana,Kabupaten Jembrana,Bali,0,-8.357229,114.626144,Mixue,ChIJs1k2rrFj0S0RWFoYrabPq-Y,0,4.1,https://maps.google.com/?cid=16621607164516522584,22
OPERATIONAL,FALSE,TRUE,Kecamatan Jombang,Kabupaten Jombang,Jawa Timur,0857-4888-8608,-7.554843,112.23214,Mixue Jombang,ChIJs1tUF8RBeC4Rv6oiKTPvvkg,0,4.6,https://maps.google.com/?cid=5241890019318344383,92
